star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,dec,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr
HIP 79882,HIP 79882,HD 146791,GJ 3949,2MASS J16181928-0441327,0,1,0,0,0,0,0,16h18m19.29s,-4.692511,-04d41m33.0s,32.96,0.84,-0.88,3.23,,0.98,,G9.5 IIIb,,
HIP 80331,HIP 80331,HD 148387,GJ 624.1 A,2MASS J16235949+6130509 A,1,1,0,0,0,0,0,16h23m59.51s,61.514075,+61d30m50.7s,28.23,,,2.73,0,0.91,0,G8III,68.79,0.05
HD 147513,HIP 80337,HD 147513,GJ 620.1 A,2MASS J16240128-3911346,1,0,1,0,0,1,1,16h24m01.24s,-39.192989,-39d11m34.8s,12.78,,,5.37,0.02,0.63,0.01,G3/5V,1.03,0.06
HIP 80686,HIP 80686,HD 147584,GJ 624,2MASS J16282814-7005037,1,1,1,0,0,0,0,16h28m27.80s,-70.08467,-70d05m04.8s,12.12,0.12,-0.12,4.9,0.01,0.56,0.02,G0V,1.41,0.1
HD 150706,HIP 80902,HD 150706,GJ 632,2MASS J16311760+7947232,1,1,0,0,0,1,1,16h31m17.27s,79.789989,+79d47m24.0s,28.22,0.29,-0.28,7.02,0.02,0.61,0.01,G0,1.11,0.05
HIP 81300,HIP 81300,HD 149661,GJ 631,2MASS J16362142-0219281,1,0,1,1,1,1,0,16h36m21.18s,-2.323836,-02d19m25.8s,9.75,,,5.76,0.02,0.83,0.01,K1V,0.47,0.06
HIP 81693 A,HIP 81693 A,HD 150680,GJ 635 A,2MASS J16411728+3136093 A,1,1,1,0,0,0,0,16h41m17.48s,31.601887,+31d36m06.8s,10.72,0.11,-0.11,2.81,0.01,0.65,0.01,F9IV,7.73,0.05
HIP 81833,HIP 81833,HD 150997,GJ 636,2MASS J16425376+3855202,0,1,0,0,0,0,0,16h42m53.76s,38.922253,+38d55m20.1s,34.35,0.6,-0.62,3.5,,0.92,,G7.5 IIIb Fe-1,,
HIP 82396,HIP 82396,HD 151680,GJ 639.1,2MASS J16500982-3417355,1,1,0,0,0,0,0,16h50m10.24s,-34.29261,-34d17m33.4s,19.54,,,2.26,0.02,1.18,0.02,K2IIIB,61.07,0.06
HIP 82860,HIP 82860,HD 153597,GJ 648,2MASS J16560170+6508054,1,1,0,0,0,0,0,16h56m01.36s,65.134672,+65d08m04.8s,15.26,0.15,-0.15,4.88,0.02,0.48,0.01,F6Vvar,2.26,0.06
HIP 83000,HIP 83000,HD 153210,,2MASS J16574007+0922299,1,1,0,0,0,0,0,16h57m40.27s,9.375056,+09d22m30.2s,28.04,0.28,-0.28,3.18,0.02,1.16,0.02,K2IIIvar,53.37,0.06
