star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,dec,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr
HIP 171,HIP 171,HD 224930,GJ 914 A,2MASS J00021014+2704570 A,1,0,1,0,0,0,0,00h02m09.65s,27.084489,+27d05m04.2s,12.17,0.38,-0.35,5.8,0.01,0.69,0.02,G3V,0.7,0.09
HD 142,HIP 522,HD 142,GJ 4.2 A,2MASS J00061921-4904307 A,1,1,0,0,0,1,2,00h06m18.66s,-49.075094,-49d04m30.3s,25.71,0.26,-0.25,5.7,0.02,0.52,0.01,F7V,3,0.11
HIP 544,HIP 544,HD 166,GJ 5,2MASS J00063674+2901175,1,0,1,0,0,1,0,00h06m36.53s,29.021935,+29d01m19.0s,13.67,0.14,-0.14,6.06,0.02,0.75,0,K0V,0.68,0.11
HIP 677,HIP 677,HD 358,,2MASS J00082326+2905253,1,1,0,0,0,0,0,00h08m23.17s,29.090828,+29d05m27.0s,29.74,0.3,-0.29,2.06,0.01,-0.05,0.01,B9p,251.04,0.06
HIP 746,HIP 746,HD 432,GJ 8,2MASS J00091071+5908591,1,1,0,0,0,0,0,00h09m10.09s,59.150218,+59d09m00.8s,16.78,0.17,-0.17,2.26,0.02,0.36,0.02,F2III-IV,29.09,0.06
HIP 910,HIP 910,HD 693,GJ 10,2MASS J00111587-1528043,1,1,0,0,1,0,0,00h11m15.91s,-15.467323,-15d28m02.4s,18.75,0.19,-0.19,4.89,0.01,0.49,0.01,F5V,3.38,0.06
HIP 1599,HIP 1599,HD 1581,GJ 17,2MASS J00200446-6452282,1,1,1,0,0,0,0,00h20m01.91s,-64.877623,-64d52m39.4s,8.59,,,4.23,0.01,0.58,0.01,G0V,1.33,0.05
HIP 2021,HIP 2021,HD 2151,GJ 19,2MASS J00254416-7715157,1,1,1,0,0,0,0,00h25m39.20s,-77.255035,-77d15m18.1s,7.46,,,2.82,0.01,0.62,0.01,G1IV,3.7,0.05
HIP 2072,HIP 2072,HD 2262,GJ 20,2MASS J00261219-4340475,1,1,0,0,0,0,0,00h26m12.12s,-43.679909,-43d40m47.7s,23.81,,,3.93,0.01,0.18,0.01,A6VN,12.77,0.05
HIP 2081,HIP 2081,HD 2261,GJ 9013,2MASS J00261699-4218216,1,1,0,0,0,0,0,00h26m16.87s,-42.305122,-42d18m18.4s,25.97,0.53,-0.51,2.4,0.01,1.08,0.02,K0IIIB,88.07,0.07
HIP 2941 A,HIP 2941 A,HD 3443 A,GJ 25 A,2MASS J00372057-2446023 A,1,0,1,0,0,0,0,00h37m19.79s,-24.767225,-24d46m02.0s,15.4,0.48,-0.45,5.57,0,0.72,0,K1V+G,1.32,0.08
HD 3651,HIP 3093,HD 3651,GJ 27,2MASS J00392187+2115024,1,0,1,1,0,1,1,00h39m22.09s,21.251374,+21d15m04.9s,11.06,,,5.88,0.01,0.85,0.01,K0V,0.54,0.05
HIP 3419,HIP 3419,HD 4128,GJ 31,2MASS J00433536-1759117,1,1,0,0,0,0,0,00h43m35.23s,-17.986684,-17d59m12.1s,29.53,,,2.02,0.02,1.04,0.02,K0III,151.95,0.06
HIP 3765,HIP 3765,HD 4628,GJ 33,2MASS J00482303+0516497,1,1,1,1,1,1,0,00h48m22.53s,5.283389,+05d17m00.2s,7.45,,,5.74,0.01,0.89,0.01,K1V,0.3,0.05
HIP 3821 A,HIP 3821 A,HD 4614,GJ 34 A,2MASS J00490622+5748545,1,1,1,1,0,1,0,00h49m05.10s,57.816548,+57d48m59.6s,5.94,0.06,-0.06,3.45,0.02,0.57,0.02,G3V,1.31,0.06
HIP 3909,HIP 3909,HD 4813,GJ 37,2MASS J00500759-1038394,1,0,1,0,0,0,0,00h50m07.72s,-10.64377,-10d38m37.6s,15.75,0.16,-0.16,5.16,0.02,0.51,0.01,F7V,1.85,0.1
HIP 4151,HIP 4151,HD 5015,GJ 41,2MASS J00530419+6107262,1,1,0,0,0,0,0,00h53m04.28s,61.123557,+61d07m24.8s,18.74,0.19,-0.19,4.8,0.01,0.54,0.01,F8V,3.66,0.05
HIP 5336,HIP 5336,HD 6582,GJ 53 A,2MASS J01081597+5455148 A,1,1,1,0,0,0,0,01h08m12.92s,54.924228,+54d55m27.2s,7.55,0.08,-0.07,5.17,0,0.7,0,G5Vp,0.46,0.1
HD 7449,HIP 5806,HD 7449,,2MASS J01142933-0502504,0,1,0,0,0,1,1,01h14m29.32s,-5.047387,-05d02m50.6s,38.52,1.11,-1.18,7.483,0.011,0.594,0.019,G0 V,,
HIP 5862,HIP 5862,HD 7570,GJ 55,2MASS J01151112-4531540,1,1,1,0,0,0,0,01h15m10.57s,-45.532097,-45d31m55.5s,15.11,,,4.96,0.02,0.57,0.01,G0V,2.07,0.06
HIP 6537,HIP 6537,HD 8512,,2MASS J01240142-0810596,0,1,0,0,0,0,0,01h24m01.40s,-8.183256,-08d10m59.7s,35.11,0.92,-0.98,3.59,,1.06,,K0 III,,
HIP 6686,HIP 6686,HD 8538,GJ 58.1,2MASS J01254889+6014070,0,1,0,0,0,0,0,01h25m48.95s,60.235283,+60d14m07.0s,30.48,0.56,-0.59,2.68,,0.13,,A5 IV,,
ups And,HIP 7513,HD 9826,GJ 61 A,2MASS J01364784+4124200,1,1,1,0,1,1,4,01h36m47.98s,41.406385,+41d24m23.0s,13.49,,,4.09,0.02,0.54,0.01,F8V,3.64,0.06
HIP 7751 B,HIP 7751 B,HD 10360,GJ 66 B,2MASS J01394755-5611471,1,0,1,0,0,0,0,01h39m47.24s,-56.196441,-56d11m47.2s,7.82,0.16,-0.15,5.68,0.02,0.86,0.02,K0/4,0.34,0.11
HIP 7918,HIP 7918,HD 10307,GJ 67,2MASS J01414714+4236483,1,1,1,1,0,0,0,01h41m46.52s,42.613807,+42d36m49.7s,12.74,0.13,-0.13,4.96,0,0.62,0,G2V,1.49,0.05
HD 10647,HIP 7978,HD 10647,GJ 3109,2MASS J01422932-5344271,1,0,1,0,0,1,1,01h42m29.15s,-53.740575,-53d44m26.1s,17.43,,,5.52,0.02,0.53,0.02,F8V,1.64,0.1
HIP 7981,HIP 7981,HD 10476,GJ 68,2MASS J01422977+2016073,1,1,1,1,1,1,0,01h42m29.95s,20.270151,+20d16m12.5s,7.53,,,5.24,0.01,0.84,0.01,K1V,0.47,0.05
HIP 8102,HIP 8102,HD 10700,GJ 71,2MASS J01440402-1556141,1,1,1,1,1,1,0,01h44m05.13s,-15.939556,-15d56m22.4s,3.65,,,3.49,0,0.73,0.01,G8.5V,0.52,0.05
HIP 8362,HIP 8362,HD 10780,GJ 75,2MASS J01474488+6351090,1,0,1,0,1,1,0,01h47m44.06s,63.853101,+63d51m11.2s,10.07,0.1,-0.1,5.63,0.01,0.8,0.01,K0V,0.55,0.05
HIP 8497,HIP 8497,HD 11171,GJ 9061 A,2MASS J01493510-1041110,1,1,0,0,0,0,0,01h49m35.19s,-10.686181,-10d41m10.3s,23.19,0.23,-0.23,4.65,0.02,0.33,0,F0V,6.09,0.06
HIP 8796,HIP 8796,HD 11443,GJ 78.1,2MASS J01530489+2934442,1,1,0,0,0,0,0,01h53m04.90s,29.579397,+29d34m45.8s,19.42,,,3.42,0.01,0.49,0.01,F6IV,13.85,0.05
HIP 8903,HIP 8903,HD 11636,GJ 80,2MASS J01543840+2048291,1,1,0,0,0,0,0,01h54m38.35s,20.808299,+20d48m29.9s,17.99,0.18,-0.18,2.63,0.02,0.16,0.02,A5V...,24.76,0.07
HIP 9007,HIP 9007,HD 11937,GJ 81 A,2MASS J01555745-5136319 A,1,1,0,0,0,0,0,01h55m56.83s,-51.609587,-51d36m34.5s,17.85,0.18,-0.18,3.69,0.01,0.84,0.02,G8IIIBCNIV,10.95,0.1
HIP 9236,HIP 9236,HD 12311,GJ 83,2MASS J01584623-6134113,1,1,0,0,0,0,0,01h58m45.87s,-61.569924,-61d34m11.7s,22.01,0.22,-0.22,2.86,0.01,0.29,0.01,F0V,28.75,0.06
alf Ari,HIP 9884,HD 12929,GJ 84.3,2MASS J02071038+2327447,1,1,0,0,0,1,1,02h07m10.29s,23.462777,+23d27m46.0s,20.18,0.2,-0.2,2.01,0,1.15,0.01,K2III,85.89,0.05
GJ 86,HIP 10138,HD 13445,GJ 86,2MASS J02102587-5049258,1,0,1,0,0,1,1,02h10m24.00s,-50.825315,-50d49m31.1s,10.78,,,6.12,0.01,0.81,0.02,K1V,0.42,0.1
HD 13931,HIP 10626,HD 13931,,2MASS J02164736+4346230,0,0,1,0,0,1,1,02h16m47.38s,43.772995,+43d46m22.8s,45.52,1.91,-2.08,7.597,0.011,0.642,0.019,G0,,
HIP 10644,HIP 10644,HD 13974,GJ 92,2MASS J02170303+3413278,1,1,1,0,0,0,0,02h17m02.42s,34.22483,+34d13m29.4s,10.78,,,4.86,0.02,0.61,0.01,G0V,1.21,0.06
HIP 10670,HIP 10670,HD 14055,,2MASS J02171888+3350500,0,1,0,0,0,0,0,02h17m18.87s,33.847195,+33d50m49.9s,36.06,1.06,-1.13,4.01,,0.02,,A0,,
HIP 12114,HIP 12114,HD 16160,GJ 105 A,2MASS J02360498+0653140,1,0,1,1,1,1,0,02h36m03.83s,6.883364,+06d53m00.1s,7.18,,,5.82,0.02,0.98,0.02,K3V,0.29,0.1
HIP 12706 A,HIP 12706 A,HD 16970,GJ 106.1 A,2MASS J02431801+0314089 A,1,1,0,0,0,0,0,02h43m18.12s,3.236172,+03d14m10.2s,24.41,0.5,-0.48,3.47,0,0.09,0,A2Va,21.16,0.06
HIP 12777,HIP 12777,HD 16895,GJ 107 A,2MASS J02441197+4913423,1,1,1,0,1,0,0,02h44m11.69s,49.228666,+49d13m43.2s,11.13,,,4.1,0.02,0.49,0.02,F7V,2.42,0.06
HIP 12828,HIP 12828,HD 17094,GJ 9099,2MASS J02445655+1006510,1,1,0,0,0,0,0,02h44m56.37s,10.11422,+10d06m51.2s,25.77,0.26,-0.26,4.27,0.01,0.31,0.01,F1III-IV,10.72,0.1
HIP 12843,HIP 12843,HD 17206,GJ 111,2MASS J02450616-1834211,1,1,1,0,1,0,0,02h45m05.98s,-18.572651,-18d34m21.5s,14.22,0.44,-0.41,4.47,0.01,0.48,0.01,F5/6V,2.83,0.08
HIP 13402,HIP 13402,HD 17925,GJ 117,2MASS J02523210-1246109,1,0,1,0,0,1,0,02h52m31.89s,-12.769254,-12d46m09.3s,10.35,,,6.05,0.02,0.86,0.02,K1V,0.42,0.06
HIP 14146,HIP 14146,HD 18978,GJ 121,2MASS J03022353-2337281,1,1,0,0,0,0,0,03h02m23.59s,-23.624336,-23d37m27.6s,27.17,,,4.08,0,0.16,0,A4V,14.41,0.05
HIP 14576,HIP 14576,HD 19356,GJ 9110,2MASS J03081012+4057204,1,1,0,0,0,0,0,03h08m10.13s,40.955651,+40d57m20.3s,27.57,1.15,-1.06,2.11,0.01,-0.01,0.01,B8V,141.6,0.1
HIP 14632,HIP 14632,HD 19373,GJ 124,2MASS J03090387+4936479,1,1,1,0,1,1,0,03h09m02.88s,49.6135,+49d36m48.6s,10.54,,,4.05,0,0.6,0.01,G0V,2.36,0.05
HIP 14668,HIP 14668,HD 19476,,2MASS J03092976+4451271,0,1,0,0,0,0,0,03h09m29.77s,44.857544,+44d51m27.2s,34.42,0.76,-0.8,3.81,,0.98,,K0,,
HIP 14879 A,HIP 14879 A,HD 20010,GJ 127 A,2MASS J03120443-2859156 A,1,1,1,0,0,0,0,03h12m04.28s,-28.989106,-28d59m20.8s,14.24,0.14,-0.14,3.8,0.01,0.54,0.02,F8V,5.3,0.06
HIP 15330,HIP 15330,HD 20766,GJ 136,2MASS J03174616-6234313,1,0,1,1,0,0,0,03h17m44.47s,-62.576899,-62d34m36.8s,12.01,,,5.53,0,0.64,0.01,G3/5V,0.8,0.05
HIP 15371,HIP 15371,HD 20807,GJ 138,2MASS J03181281-6230230,1,1,1,0,0,0,0,03h18m11.14s,-62.507935,-62d30m28.6s,12.03,,,5.24,0.01,0.6,0.01,G2V,1.03,0.05
HIP 15457,HIP 15457,HD 20630,GJ 137,2MASS J03192169+0322126,1,1,1,0,0,1,0,03h19m21.54s,3.369971,+03d22m11.9s,9.14,,,4.84,0.02,0.68,0.01,G5V,0.88,0.06
HD 20794,HIP 15510,HD 20794,GJ 139,2MASS J03195563-4304112,1,1,1,1,0,0,3,03h19m53.22s,-43.071549,-43d04m17.6s,6.04,0.06,-0.06,4.26,0,0.71,0.01,G8.0V,0.69,0.05
HIP 16245,HIP 16245,HD 22001,GJ 143.2 A,2MASS J03292266-6256152,1,1,0,0,0,0,0,03h29m22.19s,-62.938434,-62d56m18.4s,21.68,,,4.7,0.02,0.41,0,F3IV/V,5.18,0.06
eps Eri,HIP 16537,HD 22049,GJ 144,2MASS J03325591-0927298,1,1,1,1,1,1,1,03h32m56.42s,-9.458306,-09d27m29.9s,3.21,,,3.71,0.02,0.88,0.01,K2.0V,0.35,0.06
HIP 16852,HIP 16852,HD 22484,GJ 147,2MASS J03365238+0024054,1,1,1,1,1,1,0,03h36m52.52s,0.402833,+00d24m10.2s,13.96,0.14,-0.14,4.29,0.01,0.58,0.01,F8V,3.29,0.05
HIP 17378,HIP 17378,HD 23249,GJ 150,2MASS J03431490-0945490,1,1,1,0,0,1,0,03h43m14.96s,-9.765199,-09d45m54.7s,9.04,,,3.52,0.02,0.93,0.02,K0IV,3.37,0.06
HIP 17440,HIP 17440,HD 23817,GJ 154.2,2MASS J03441195-6448248,1,1,0,0,0,0,0,03h44m11.55s,-64.807094,-64d48m25.5s,29.86,0.61,-0.59,3.84,0,1.13,0,K0IV SB,39.12,0.11
HIP 17651,HIP 17651,HD 23754,GJ 155,2MASS J03465090-2314585,1,1,0,0,1,0,0,03h46m50.99s,-23.248438,-23d14m54.4s,17.63,,,4.22,0.01,0.43,0.01,F3/5V,5.39,0.1
HIP 18907,HIP 18907,HD 25490,,2MASS J04030936+0559214,0,1,0,0,0,0,0,04h03m09.38s,5.989305,+05d59m21.5s,39.62,1.32,-1.41,3.91,,0.03,,A0.5 Va,,
HIP 19747,HIP 19747,HD 26967,,2MASS J04140010-4217396,0,1,0,0,0,0,0,04h14m00.11s,-42.294369,-42d17m39.7s,35.91,0.65,-0.67,3.86,,1.1,,K2 III,,
HIP 19849,HIP 19849,HD 26965,GJ 166 A,2MASS J04151651-0739068,1,1,1,1,1,1,0,04h15m17.64s,-7.644558,-07d38m40.4s,4.98,,,4.43,0,0.82,0,K0.5V,0.42,0.1
HIP 19859,HIP 19859,HD 26923,,2MASS J04152879+0611128,1,0,0,1,0,0,0,04h15m28.86s,6.187121,+06d11m13.6s,21.33,0.22,-0.21,6.32,0.01,0.57,0.01,G0IV...,1.2,0.04
HIP 19893,HIP 19893,HD 27290,GJ 167.1,2MASS J04160159-5129119,1,1,0,0,0,0,0,04h16m01.49s,-51.487096,-51d29m13.5s,20.46,0.21,-0.2,4.25,0.02,0.31,0.01,F0V,6.9,0.06
HD 27442,HIP 19921,HD 27442,GJ 167.3,2MASS J04162902-5918078,1,1,0,0,0,1,1,04h16m29.08s,-59.301748,-59d18m06.3s,18.24,,,4.44,0,1.08,0.01,K1/2III,6.88,0.05
alf Tau,HIP 21421,HD 29139,GJ 171.1 A,2MASS J04355524+1630331,1,1,0,0,0,0,1,04h35m55.20s,16.509762,+16d30m35.1s,20.43,0.42,-0.4,0.87,0.01,1.54,0.01,K5III,469.49,0.06
HIP 21770,HIP 21770,HD 29875,GJ 174.1 A,2MASS J04403374-4151495 A,1,1,0,0,0,0,0,04h40m33.82s,-41.86357,-41d51m48.9s,20.17,,,4.44,0.01,0.34,0.01,F1V,5.61,0.05
HIP 22263,HIP 22263,HD 30495,GJ 177,2MASS J04473628-1656041,1,0,1,0,0,1,0,04h47m36.21s,-16.934867,-16d56m05.5s,13.28,,,5.49,0.02,0.63,0.01,G3V,1.01,0.1
HD 30562,HIP 22336,HD 30562,GJ 177.1,2MASS J04483633-0540258,1,0,1,0,0,1,1,04h48m36.20s,-5.673439,-05d40m24.4s,26.42,0.27,-0.26,5.76,0.02,0.63,0,G5V,3.08,0.06
HIP 22449,HIP 22449,HD 30652,GJ 178,2MASS J04495040+0657409,1,1,1,0,1,1,0,04h49m50.14s,6.961247,+06d57m40.5s,8.07,,,3.17,0.02,0.46,0.02,F6V,3,0.06
GJ 179,HIP 22627,,GJ 179,2MASS J04520573+0628356,1,0,1,0,0,1,1,04h52m05.64s,6.477293,+06d28m38.3s,12.29,0.65,-0.59,12.02,0.01,1.55,0.01,M4,0.02,0.15
HIP 23311,HIP 23311,HD 32147,GJ 183,2MASS J05004896-0545117,1,0,1,0,1,1,0,05h00m48.68s,-5.750979,-05d45m03.5s,8.71,,,6.23,0.02,1.05,0.01,K4III,0.3,0.06
HIP 23693,HIP 23693,HD 33262,GJ 189,2MASS J05053067-5728217,1,1,1,0,0,0,0,05h05m30.69s,-57.472989,-57d28m22.8s,11.65,,,4.71,0.01,0.53,0.01,F6/7V,1.54,0.1
HIP 23835,HIP 23835,HD 32923,GJ 188 A,2MASS J05072692+1838420 A,1,1,1,0,0,1,0,05h07m26.68s,18.645007,+18d38m42.0s,15.43,0.16,-0.15,4.91,0.01,0.66,0.01,G4V,2.33,0.05
HIP 23875,HIP 23875,HD 33111,GJ 9175,2MASS J05075100-0505109,1,1,0,0,1,0,0,05h07m51.03s,-5.086263,-05d05m10.5s,27.4,0.28,-0.27,2.76,0.02,0.15,0.02,A3IVn,49.81,0.07
HIP 24205,HIP 24205,HD 33636,,2MASS J05114645+0424127,1,0,1,0,0,1,0,05h11m46.34s,4.403873,+04d24m13.9s,28.37,0.88,-0.83,6.98,0.02,0.59,0.02,G1/2V,1.15,0.09
HIP 24608,HIP 24608,HD 34029,GJ 194 A,2MASS J05164138+4559525 A,1,1,0,0,0,0,0,05h16m41.30s,45.999029,+45d59m56.5s,13.12,0.13,-0.13,0.08,0.01,0.8,0.02,M1:comp,158.4,0.06
HIP 24813,HIP 24813,HD 34411,GJ 197,2MASS J05190848+4005565,1,1,1,0,1,1,0,05h19m08.08s,40.100667,+40d06m02.4s,12.63,,,4.69,0.02,0.61,0.02,G0V,1.89,0.06
HIP 25278,HIP 25278,HD 35296,GJ 202,2MASS J05242545+1723006,1,1,1,0,1,0,0,05h24m25.31s,17.383552,+17d23m00.8s,14.39,0.15,-0.14,5,0.02,0.52,0.02,F8VSB,1.8,0.06
HD 39091,HIP 26394,HD 39091,GJ 9189,2MASS J05370988-8028090,1,1,1,0,0,1,1,05h37m08.79s,-80.471675,-80d28m18.0s,18.32,,,5.65,0,0.6,0,G1V,1.64,0.1
HIP 26779,HIP 26779,HD 37394,GJ 211,2MASS J05412033+5328523,1,0,1,0,0,1,0,05h41m20.33s,53.48233,+53d28m56.4s,12.28,0.12,-0.12,6.2,0.02,0.84,0.01,K1V,0.5,0.04
HIP 27072,HIP 27072,HD 38393,GJ 216 A,2MASS J05442780-2226538,1,1,1,0,1,0,0,05h44m27.97s,-22.447487,-22d26m51.0s,8.93,,,3.59,0.01,0.48,0.01,F7V,2.51,0.05
HD 38529,HIP 27253,HD 38529,,2MASS J05463492+0110053,0,0,1,0,0,1,2,05h46m34.91s,1.168193,+01d10m05.5s,42.43,1.59,-1.72,5.95,,0.78,,G8 III/IV,,
HIP 27288,HIP 27288,HD 38678,GJ 217.1,2MASS J05465735-1449189,1,1,0,0,1,0,0,05h46m57.35s,-14.821947,-14d49m19.0s,21.61,,,3.55,0,0.1,0,A2VANN,15.4,0.05
bet Pic,HIP 27321,HD 39060,GJ 219,2MASS J05471708-5103594,1,1,0,0,0,1,1,05h47m17.08s,-51.066713,-51d04m00.2s,19.44,,,3.85,0,0.17,0,A5V,9.08,0.05
HD 38858,HIP 27435,HD 38858,GJ 1085,2MASS J05483495-0405404,1,0,0,1,0,0,0,05h48m34.90s,-4.094087,-04d05m38.7s,15.18,0.15,-0.15,5.97,0,0.64,0,G3V,0.85,0.05
HIP 27628,HIP 27628,HD 39425,,2MASS J05505760-3546062,1,1,0,0,0,0,0,05h50m57.55s,-35.769292,-35d46m09.5s,26.73,,,3.1,0.02,1.17,0.02,K1.5III,52.65,0.06
HIP 27654,HIP 27654,HD 39364,,2MASS J05511928-2052440,0,1,0,0,0,0,0,05h51m19.30s,-20.879089,-20d52m44.7s,34.42,0.72,-0.75,3.85,,0.98,,G8 III/IV,,
HIP 27890,HIP 27890,HD 40409,GJ 224.1,2MASS J05540606-6305230,1,1,0,0,0,0,0,05h54m05.90s,-63.091021,-63d05m27.7s,26.25,0.54,-0.51,4.64,0.02,1.05,0.02,K1III/IV,12.3,0.11
HIP 27913,HIP 27913,HD 39587,GJ 222 A,2MASS J05542300+2016344 A,1,1,1,1,0,0,0,05h54m23.08s,20.276415,+20d16m35.1s,8.66,,,4.39,0.02,0.59,0.01,G0V,1.17,0.06
HIP 28103,HIP 28103,HD 40136,GJ 225,2MASS J05562429-1410036,1,1,1,0,1,0,0,05h56m24.32s,-14.168038,-14d10m04.9s,14.88,,,3.71,0.01,0.34,0.01,F1V,6.02,0.05
HIP 28360,HIP 28360,HD 40183,GJ 3375,2MASS J05593172+4456508,1,1,0,0,0,0,0,05h59m31.77s,44.947435,+44d56m50.8s,24.87,0.25,-0.25,1.89,0.01,0.07,0.01,A2V,110.91,0.05
HIP 29271,HIP 29271,HD 43834,GJ 231,2MASS J06101448-7445107,1,1,1,1,0,0,0,06h10m14.20s,-74.752528,-74d45m09.1s,10.2,,,5.08,0.01,0.71,0.02,G6V,0.91,0.1
7 CMa,HIP 31592,HD 47205,GJ 239.1,2MASS J06364103-1915210,1,1,0,0,0,1,1,06h36m41.00s,-19.255709,-19d15m20.6s,19.75,,,3.95,0.02,1.06,0.02,K1III(+M),11.99,0.06
HIP 32349,HIP 32349,HD 48915,GJ 244 A,2MASS J06450887-1642566 A,1,1,1,0,0,0,0,06h45m09.25s,-16.713143,-16d42m47.3s,2.63,,,-1.44,0,0.01,0.01,A1.0V,30.48,0.05
HIP 32362,HIP 32362,HD 48737,GJ 242,2MASS J06451737+1253438,1,1,0,0,1,0,0,06h45m17.43s,12.896055,+12d53m45.8s,18,,,3.32,0.02,0.44,0.01,F5IV,12.77,0.06
HIP 32607,HIP 32607,HD 50241,GJ 248,2MASS J06481145-6156290,1,1,0,0,0,0,0,06h48m11.54s,-61.94198,-61d56m31.1s,29.6,1.56,-1.41,3.23,0.02,0.22,0.02,A7IV,36.4,0.14
HIP 33202 A,HIP 33202 A,HD 50635,GJ 9220 A,2MASS J06543863+1310401,1,1,0,0,0,0,0,06h54m38.59s,13.178016,+13d10m40.9s,25.63,1.07,-0.99,4.73,0.01,0.32,0.02,F0Vp,6.95,0.14
HIP 34065,HIP 34065,HD 53705,GJ 264.1 A,2MASS J07035734-4336289,1,0,1,0,0,0,0,07h03m57.40s,-43.608984,-43d36m32.3s,16.52,0.34,-0.32,5.56,0.01,0.62,0.01,G3V,1.45,0.07
HIP 34834,HIP 34834,HD 55892,GJ 268.1,2MASS J07123363-4645337,1,1,0,0,0,0,0,07h12m33.74s,-46.759564,-46d45m34.4s,21.43,,,4.49,0.01,0.32,0.01,F0IV,6.05,0.05
HIP 35136,HIP 35136,HD 55575,GJ 1095,2MASS J07155011+4714241,1,0,0,1,0,0,0,07h15m50.11s,47.240416,+47d14m25.5s,16.89,0.17,-0.17,5.54,0.02,0.58,0,G0V,1.54,0.06
HIP 35350,HIP 35350,HD 56537,GJ 9231 A,2MASS J07180560+1632255,0,1,0,0,0,0,0,07h18m05.58s,16.540382,+16d32m25.4s,28.91,0.76,-0.8,3.58,,0.12,,A2,,
HIP 35550,HIP 35550,HD 56986,GJ 271 A,2MASS J07200736+2158561 A,1,1,0,0,0,0,0,07h20m07.39s,21.982339,+21d58m56.4s,18.54,0.19,-0.18,3.5,0.01,0.37,0.02,F0IV...,11.38,0.06
HIP 36046,HIP 36046,HD 58207,,2MASS J07254359+2747529,0,1,0,0,0,0,0,07h25m43.60s,27.79808,+27d47m53.1s,38.61,1.31,-1.41,3.79,,1.04,,K0,,
HIP 36366,HIP 36366,HD 58946,GJ 274 A,2MASS J07290671+3147043 A,1,1,0,0,0,0,0,07h29m06.61s,31.784079,+31d47m02.7s,18.05,,,4.16,0.02,0.32,0.01,F0V...,5.84,0.06
HD 60532,HIP 36795,HD 60532,GJ 279,2MASS J07340317-2217457,1,1,0,0,0,1,2,07h34m03.21s,-22.296181,-22d17m46.3s,25.3,0.26,-0.25,4.44,0.01,0.52,0.01,F6V,9.3,0.1
HIP 36850 A,HIP 36850 A,HD 60179,GJ 278 A,2MASS J07343598+3153184 A,1,1,1,0,0,0,0,07h34m36.00s,31.888636,+31d53m19.1s,15.6,1,-0.88,1.58,0,0.03,0,A2Vm,53.93,0.17
HIP 37279,HIP 37279,HD 61421,GJ 280 A,2MASS J07391805+0513298 A,1,1,1,0,0,0,0,07h39m18.54s,5.227508,+05d13m39.0s,3.51,,,0.4,0.01,0.43,0.02,F5IV-V,7.12,0.04
HD 62509,HIP 37826,HD 62509,GJ 286,2MASS J07451891+2801340,1,1,1,0,0,1,1,07h45m19.36s,28.02631,+28d01m34.7s,10.36,,,1.16,0,0.99,0.01,K0IIIvar,40.95,0.05
HIP 37853,HIP 37853,HD 63077,GJ 288 A,2MASS J07453500-3410226,1,0,1,1,0,0,0,07h45m35.18s,-34.176551,-34d10m35.6s,15.21,0.15,-0.15,5.36,0.01,0.59,0.01,G0V,1.51,0.06
HIP 38382 A,HIP 38382 A,HD 64096,GJ 291 A,2MASS J07514629-1353526 A,1,0,1,0,0,0,0,07h51m46.34s,-13.897191,-13d53m49.9s,16.5,0.17,-0.16,5.16,0,0.6,0.01,G2V,2.11,0.06
HIP 38908,HIP 38908,HD 65907,GJ 294 A,2MASS J07574692-6018111,1,0,1,0,0,0,0,07h57m46.30s,-60.303361,-60d18m12.1s,16.2,,,5.58,0.02,0.57,0.01,G0V,1.36,0.06
HIP 39757,HIP 39757,HD 67523,,2MASS J08073264-2418154,1,1,0,0,0,0,0,08h07m32.70s,-24.304437,-24d18m16.0s,19.48,,,2.79,0.02,0.46,0.02,F2MF5IIP,24.25,0.06
HIP 39903,HIP 39903,HD 68456,GJ 297.1,2MASS J08090068-6118088,1,1,0,0,0,0,0,08h09m00.86s,-61.301706,-61d18m06.1s,19.98,1.05,-0.95,4.74,0.02,0.44,0.01,F5V,4.29,0.17
HIP 40167 A,HIP 40167 A,HD 68257,GJ 9257 A,2MASS J08121278+1738522 A,1,1,0,0,0,0,0,08h12m12.71s,17.648138,+17d38m53.3s,25.08,0.51,-0.49,5.24,0.02,0.53,0,G0V,4.56,0.06
HD 69830,HIP 40693,HD 69830,GJ 302,2MASS J08182389-1237541,1,0,1,0,0,1,3,08h18m23.78s,-12.62977,-12d37m47.2s,12.49,,,5.94,0.02,0.75,0.01,K0V,0.63,0.06
HIP 40702,HIP 40702,HD 71243,GJ 305,2MASS J08183157-7655108,1,1,0,0,0,0,0,08h18m31.27s,-76.919983,-76d55m11.9s,19.56,,,4.05,0.02,0.4,0.02,F5V,7.74,0.1
HIP 40706,HIP 40706,HD 70060,GJ 305,2MASS J08183332-3639333,1,1,0,0,0,0,0,08h18m33.39s,-36.659533,-36d39m34.3s,28.63,0.29,-0.28,4.44,0,0.22,0.01,A4(M)A5-A7,11.38,0.05
HD 70642,HIP 40952,HD 70642,GJ 304,2MASS J08212815-3942199,1,0,1,0,0,1,1,08h21m28.29s,-39.705958,-39d42m21.4s,28.07,0.28,-0.28,7.16,0.02,0.71,0.02,G8/K1(III+F/G),0.98,0.05
