# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
51 Eri b,Confirmed,2.6,0.3,0.3,,,,1.11,0.13,0.16,1100,4380,12775,12,3,7,0.49,0.15,0.15,135,13,15,,2015,4/12/19,84,58,58,2452014.79,12,12,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,3.5,Published in a refereed paper,Imaging,Spectrum,,,"CH4, H2O",51 Eri,69.40055143,-2.473548598,5.223,,,,,29.4,0.3,0.3,-0.027,,,1.75,0.05,0.05,,,,F0IV,0.02,0.006,0.006,,,,IR Excess,,
AB Pic b,Confirmed,13.5,0.5,0.5,,,,,,,,,,275,,,,,,,,,5.813953,2005,12/6/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,AB Pic,94.8,-58.0541667,9.16,,,,,47.3,1.8,1.8,-0.64,,,,,,,,,K2 V,0.03,,,4875,,,,,
CD-35 2722 b,Confirmed,31,8,8,,,,,,,,,,67,4,4,,,,,,,3.14554,2011,2/23/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CD-35 2722,92.33004292,-35.82533225,10.98,,,,,21.3,1.4,1.4,0.04,0.5,0.5,0.4,0.05,0.05,,,,M1V,0.1,0.05,0.05,3680,100,100,,,
CFBDS 1458 A,Confirmed,24.1,15.9,15.9,,,,,,,,,,,,,,,,,,,,2010,9/16/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"CFBDSIR J1458+1013 A, CFBDSIR 1458+10 A",,,224.6208333,10.22861113,,,,,,31.9,2.4,2.8,,,,,,,,,,,,,,,,,,,
CFBDS0059,Confirmed,22.5,17.5,17.5,,,,,,,,,,,,,,,,,,,,2008,9/16/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,CFBDS J005910.90-011401.3,,,14.79542917,-1.233647227,,,,,,13,5,5,,,,,,,,,,,,,,,,,,,
CFBDSIR J2149-0403 b,Confirmed,21,19,19,,,,,,,,,,,,,,,,,,,,2017,8/25/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CFBDSIR J2149-0403,327.4466667,-4.052472225,,,,,,55.2,5.4,5.4,,,,,,,,,,T7,,,,,,,,,
CHXR 73 b,Confirmed,12,5,8,,,,,,,,,,200,,,,,,,,,,2006,5/25/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CHXR 73,166.6208333,-77.6258333,,,,11.32,,,,,,,,0.35,0,0,,,,M3.25,0.002,,,,,,,,
CT Cha b,Confirmed,17,6,6,,,,2.2,0.6,0.6,,,,440,,,,,,,,,2.666667,2008,9/24/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CT Cha,166.0375,-76.4552778,12.36,,,,,165,30,30,,,,,,,,,,K7,0.002,0.002,0.002,,,,,,
DE0823-49 b,Confirmed,31.5,13,13,,,,,,,247.75,0.64,0.64,0.36,0.01,0.01,0.36,0.04,0.04,52.2,1.5,1.5,,2013,6/1/15,41.8,4.9,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670,,,,,,Published in a refereed paper,Imaging,Astrometry,,,,DE0823-49,125.7625,-48.79972222,,,,,,20.69,0.06,0.06,,,,0.045,0.017,0.017,,,,,0.1,0.02,0.5,2150,100,100,,,
DH Tau b,Confirmed,11,0.003,0.01,,,,,,,,,,330,,,,,,,,,,2005,3/8/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,DH Tau,67.425,26.5494444,13.71,,,,,,,,,,,0.37,0.12,0.12,,,,M0.5V,0.001,0.0009,0.0009,,,,,,
FU Tau b,Confirmed,15,,,,,,,,,,,,800,,,,,,,,,5.714286,2009,9/19/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,FU Tau,65.8958333,25.0508333,,,,9.95,,140,,,,,,0.05,,,,,,M7.25,0.001,,,2838,,,,,
FW Tau b,Confirmed,10,4,4,,,,,,,,,,330,30,30,,,,,,,,2013,12/2/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,FW Tau,67.37500001,26.28138891,15.5,,,,,145,15,15,,,,0.26,0.18,0.18,,,,M4,0.0018,0.001,0.0005,3270,70,70,,,
Fomalhaut b,Confirmed,3,3,0,,,,,,,320000,,,115,,,0.11,0,0,,,,14.92731,2008,5/22/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,Fomalhaut,344.4125,-29.6222222,1.16,,,,,7.704,0.028,0.028,,,,1.92,0.02,0.02,1.842,0.019,0.019,A3 V,0.44,0.04,0.04,8590,73,73,Imaging,,HD 216956
