*SPECTRA OF METHANE, JOVIAN PLANETS, AND TITAN
*Data from:  Spectrophotometry of the Jovian Planets and Titan 
*at 300 - 1000 nm Wavelength: the Methane Spectrum
*Column 1:  Vacuum wavelength (nm)
*       2:  Air wavelength (nm)
*       3:  Methane absorption coefficient (1/km-am)
*       4:  Full-disk albedo of Jupiter
*       5:  Full-disk albedo of Saturn
*       6:  Full-disk albedo of Uranus
*       7:  Full-disk albedo of Neptune
*       8:  Full-disk albedo of Titan
 444.4  444.27   .0003 .4130 .3237 .5820 .5825 .1238
 444.8  444.67   .0000 .4128 .3238 .5844 .5859 .1242
 445.2  445.07   .0000 .4143 .3261 .5859 .5877 .1242
 445.6  445.47   .0000 .4162 .3277 .5874 .5893 .1251
 446.0  445.87   .0000 .4159 .3282 .5940 .5953 .1257
 446.4  446.27   .0000 .4170 .3298 .5944 .5947 .1258
 446.8  446.67   .0000 .4165 .3295 .5884 .5895 .1260
 447.2  447.07   .0000 .4161 .3301 .5853 .5854 .1260
 447.6  447.47   .0000 .4173 .3312 .5845 .5841 .1265
 448.0  447.87   .0000 .4187 .3328 .5881 .5868 .1273
 448.4  448.27   .0000 .4187 .3339 .5888 .5872 .1274
 448.8  448.67   .0001 .4181 .3333 .5872 .5861 .1275
 449.2  449.07   .0000 .4199 .3354 .5890 .5880 .1278
 449.6  449.47   .0000 .4201 .3361 .5892 .5872 .1281
 450.0  449.86   .0001 .4197 .3358 .5862 .5845 .1285
 450.4  450.26   .0001 .4201 .3370 .5865 .5839 .1290
 450.8  450.66   .0002 .4206 .3373 .5852 .5813 .1291
 451.2  451.06   .0002 .4216 .3382 .5865 .5817 .1294
 451.6  451.46   .0002 .4225 .3398 .5905 .5842 .1300
 452.0  451.86   .0003 .4227 .3401 .5890 .5832 .1305
 452.4  452.26   .0003 .4244 .3418 .5897 .5835 .1306
 452.8  452.66   .0003 .4267 .3445 .5923 .5847 .1311
 453.2  453.06   .0005 .4256 .3441 .5908 .5829 .1315
 453.6  453.46   .0006 .4250 .3446 .5879 .5791 .1314
 454.0  453.86   .0007 .4247 .3444 .5858 .5762 .1316
