# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 117207 b,Confirmed,2.06,,,2.06,,,,,,2627.08,63.51,63.51,3.78,,,0.16,0.05,0.05,,,,0.114545,2004,12/31/10,81.7,19.9,19.9,2450666.43,148.89,148.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 117207,202.3375,-35.5708333,7.26,,,,,33,,,0.27,,,1.07,,,1.09,,,G8VI/V,6.68,2.2,2.2,5432,,,,,
HD 37124 d,Confirmed,0.696,0.059,0.059,0.696,0.059,0.059,,,,1862,38,38,2.807,0.038,0.038,0.16,0.14,0.14,,,,0.085061,2003,5/20/13,360,,,2448558,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 37124,84.2583333,20.7305556,7.68,,,,,33,,,-0.442,,,0.83,,,0.82,,,G4 V,3.33,,,5610,70,70,,,
HD 196885 A b,Confirmed,2.98,0.05,0.05,2.98,0.05,0.05,,,,1326,3.7,3.7,2.6,0.1,0.1,0.48,0.02,0.02,,,,0.078788,2007,12/11/12,93.2,3,3,11902,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 196885 A,309.9625,11.2494444,6.4,,,,,33,1,1,0.29,0.05,0.05,1.33,,,1.79,0.17,0.17,F8V,2,0.5,0.5,6340,39,39,,,
HD 197037 b,Confirmed,0.79,0.05,0.05,0.79,0.05,0.05,,,,1035.7,13,13,2.07,0.05,0.05,0.22,0.07,0.07,,,,0.062727,2012,2/4/12,298,26,26,2451353.1,86,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 197037,309.8875,42.2486111,6.81,,,,,33,,,-0.2,0.06,0.06,1.11,,,,,,F7V,1.9,,,6150,100,100,,,
HD 37124 c,Confirmed,0.652,0.052,0.052,0.652,0.052,0.052,,,,885.5,5.1,5.1,1.71,0.0065,0.0065,0.125,0.055,0.055,,,,0.051818,2005,5/20/13,53,17,17,2449534,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 37124,84.2583333,20.7305556,7.68,,,,,33,,,-0.442,,,0.83,,,0.82,,,G4 V,3.33,,,5610,70,70,,,
HD 216435 b,Confirmed,1.26,0.13,0.13,1.26,0.13,0.13,,,,1311,49,49,2.56,0.17,0.17,0.07,0.078,0.078,,,,0.076877,2002,1/15/16,100,,,2450870,210,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 216435,343.4041667,-48.5980556,6.03,,,,,33.3,,,0.244,,,1.3,,,2,0.7,0.7,G0 V,5.27,,,5767,,,IR Excess,,
HD 4208 b,Confirmed,0.804,0.073,0.073,0.804,0.073,0.073,,,,828,8.1,8.1,1.65,0.096,0.096,0.052,0.04,0.04,,,,0.050147,2001,1/21/16,345,,,2451040,120,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 4208,11.1083333,-26.5155556,7.79,,,,,33.9,,,-0.284,,,0.87,,,0.85,,,G5 V,4.47,,,5571,,,,,
HD 11964 b,Confirmed,0.622,0.056,0.056,0.622,0.056,0.056,,,,1945,26,26,3.16,0.19,0.19,0.041,0.017,0.017,,,,0.092996,2005,2/13/14,155,,,2454170,380,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 11964,29.2875,-10.2422222,6.42,,,,,33.98,,,0.17,,,1.125,,,2.18,0.29,0.29,G5,9.56,,,5248,,,,,
HD 114729 b,Confirmed,0.84,,,0.84,,,,,,1135,9,9,2.08,,,0.32,0.18,0.18,,,,0.059429,2002,1/15/16,73,30,30,2450520,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 114729,198.1833333,-31.8733333,6.69,,,,,35,,,-0.22,,,0.93,,,1.46,,,G3 V,4.58,,,5662,,,,,
HD 142022 A b,Confirmed,29.4,16.3,81,5.1,1.5,2.6,,,,1928,39,53,3.03,0.005,0.005,0.53,0.18,0.23,10,6,6,0.084472,2005,5/26/14,170,10,8,50941,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 142022 A,242.5625,-84.2313889,7.7,,,,,35.87,,,0.19,0.04,0.04,0.99,,,0.705,0.135,0.135,K0 V,13.3,3.9,3.9,5382,,,,,
HD 169830 c,Confirmed,4.04,,,4.04,,,,,,2102,264,264,3.6,,,0.33,0.02,0.02,,,,0.099119,2003,12/23/10,252,8,8,52516,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 169830,276.9541667,-29.8166667,5.9,,,,,36.32,,,0.21,,,1.4,,,1.84,,,F8 V,4.95,,,6266,,,,,
HD 12661 c,Confirmed,1.57,,,1.57,,,,,,1708,14,14,2.56,,,0.031,0.022,0.022,,,,0.068891,2002,2/13/14,165,,,2446153.76,87,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 12661,31.1416667,25.4141667,7.44,,,,,37.16,,,0.29,0.05,0.05,1.07,,,1.12,,,G6 V,7.05,,,5742,,,,,
HD 168443 c,Confirmed,29.463,6.128,12.184,17.193,0.21,0.21,,,,1749.83,0.57,0.57,2.8373,0.018,0.018,0.2113,0.0017,0.0017,35.7,11,11,0.075904,2001,8/22/14,64.87,0.51,0.51,2455521.3,2.2,2.2,,,,2455599.9,1.187,1.187,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 168443,275.0166667,-9.5927778,6.92,,,,,37.38,1.26,1.26,0.04,0.03,0.03,0.995,0.019,0.019,1.51,0.06,0.06,G5,9.8,1,1,5591,44,44,,,
HD 106252 b,Confirmed,32.86,25.3,39.46,7.56,,,,,,1600,18,18,2.7,,,0.47,0.028,0.028,166.7,160.2,7.3,0.072115,2002,9/14/15,292.2,3.2,3.2,51871,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 106252,183.3708333,10.0413889,7.36,,,,,37.44,,,-0.078,,,0.96,,,1.09,,,G0,5.02,,,5754,,,,,
HD 47186 c,Confirmed,0.35061,,,0.35061,,,,,,1353.6,57.1,57.1,2.395,,,0.249,0.073,0.073,,,,0.063293,2008,5/20/13,26,23,23,52010,180,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Radial Velocity,,,,,HD 47186,99.0375,-27.6222222,7.8,,6.42,6.1,6.01,37.84,1.5,1.5,0.23,0.02,0.02,0.99,,,,,,G5V,,,,5675,21,21,,,
HD 215456 c,Confirmed,0.246,,,0.246,,,,,,2277,,,3.394,,,0.19,,,,,,0.089316,2011,9/12/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 215456,341.5333333,-48.9677778,6.63,,,,,38,0.7,0.7,,,,,,,,,,G0.5V,,,,,,,,,
HD 8673 b,Confirmed,14.2,1.6,1.6,14.2,1.6,1.6,,,,1634,17,17,3.02,0.15,0.15,0.723,0.016,0.016,,,,0.078954,2010,2/26/15,323.4,3.5,3.5,2454420.5,7.9,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 8673,21.5333333,34.5794444,7.57,,,,,38.25,1.2,1.2,0.14,0.05,0.05,1.35,0.1,0.1,1.39,0.1,0.1,F7 V,1.95,,,6472,51,51,,,
HD 7449 c,Confirmed,19.2,4.2,4.2,19.2,4.2,4.2,,,,15441,1059,1059,12.7,0.6,0.6,0,,,,,,0.127179,2011,3/5/19,50,16,16,2455883,172,172,,,,,,,,,,,,,,,,,,,144,31,31,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 7449,18.6208333,-5.0475,7.5,,,,,39,1,1,-0.11,0.01,0.01,1.05,,,1.01,,,F8V,2.1,0.24,0.24,6024,13,13,,,
HD 7449 b,Confirmed,0.508,0.111,0.111,0.508,0.111,0.111,,,,1255.5,5.1,5.1,2.38,0.04,0.04,0.92,0.03,0.03,,,,0.058974,2011,3/5/19,69.9,5.7,5.7,2455298,22,22,,,,,,,,,,,,,,,,,,,21.9,2.6,2.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 7449,18.6208333,-5.0475,7.5,,,,,39,1,1,-0.11,0.01,0.01,1.05,,,1.01,,,F8V,2.1,0.24,0.24,6024,13,13,,,
HD 38529 c,Confirmed,23.7,3.1,4.1,17.7,1.4,1.7,,,,2134.76,0.4,0.4,3.695,0.043,0.043,0.36,0.003,0.003,48.3,4,4,0.094068,2002,5/26/14,22.52,0.7,0.7,48002,6.2,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 38529,86.6416667,1.1680556,5.94,,,,,39.28,0.4,0.4,0.27,0.05,0.05,1.48,0.05,0.05,2.44,0.22,0.22,G4 IV,3.28,0.3,0.3,5697,,,IR Excess,,
